__run_id,__done,problem,prompts,run_number,execution_time,cpu_usage,memory_usage,energy_consumption
run_31_repetition_0,DONE,O_n_problem,base_prompt,12,253.018,23.944,57.066,10.72
run_32_repetition_0,DONE,O_n_problem,base_prompt,13,254.717,23.67,57.184,10.691
run_33_repetition_0,DONE,O_n_problem,base_prompt,14,259.523,24.243,57.073,10.766
run_34_repetition_0,DONE,O_n_problem,base_prompt,15,255.758,23.61,57.062,10.762
run_35_repetition_0,DONE,O_n_problem,base_prompt,16,252.399,23.633,57.289,10.773
run_36_repetition_0,DONE,O_n_problem,base_prompt,17,254.705,23.731,57.48,10.823
run_37_repetition_0,DONE,O_n_problem,base_prompt,18,255.753,23.621,57.635,10.795
run_38_repetition_0,DONE,O_n_problem,base_prompt,19,254.929,23.653,57.664,10.791
run_39_repetition_0,DONE,O_n_problem,base_prompt,20,254.282,23.708,57.881,10.852
run_40_repetition_0,DONE,O_n_problem,few_shot_prompt,1,261.223,23.794,57.975,10.799
run_41_repetition_0,DONE,O_n_problem,few_shot_prompt,2,252.796,23.581,57.948,10.806
run_42_repetition_0,DONE,O_n_problem,few_shot_prompt,3,256.606,23.681,57.916,10.814
run_43_repetition_0,DONE,O_n_problem,few_shot_prompt,4,1685.789,17.805,57.292,11.108
run_44_repetition_0,DONE,O_n_problem,few_shot_prompt,5,808.74,18.719,57.782,10.961
run_45_repetition_0,DONE,O_n_problem,few_shot_prompt,6,898.645,11.49,57.59,10.636
run_46_repetition_0,DONE,O_n_problem,few_shot_prompt,7,1081.44,11.603,57.693,10.45
run_47_repetition_0,DONE,O_n_problem,few_shot_prompt,8,761.569,11.546,57.501,10.608
run_48_repetition_0,DONE,O_n_problem,few_shot_prompt,9,782.792,11.537,57.483,10.639
run_49_repetition_0,DONE,O_n_problem,few_shot_prompt,10,1317.897,11.924,57.5,10.439
run_50_repetition_0,DONE,O_n_problem,few_shot_prompt,11,1031.638,11.562,57.529,10.533
run_51_repetition_0,DONE,O_n_problem,few_shot_prompt,12,1622.179,12.586,57.596,11.429
run_52_repetition_0,DONE,O_n_problem,few_shot_prompt,13,265.814,13.063,58.027,13.968
run_53_repetition_0,DONE,O_n_problem,few_shot_prompt,14,265.996,12.23,58.215,13.719
run_54_repetition_0,DONE,O_n_problem,few_shot_prompt,15,261.068,11.219,58.161,12.976
run_55_repetition_0,DONE,O_n_problem,few_shot_prompt,16,258.609,11.183,58.31,13.653
run_56_repetition_0,DONE,O_n_problem,few_shot_prompt,17,257.796,10.894,58.299,14.927
run_57_repetition_0,DONE,O_n_problem,few_shot_prompt,18,258.504,11.06,58.392,14.854
run_58_repetition_0,DONE,O_n_problem,few_shot_prompt,19,259.269,10.993,58.471,14.889
run_59_repetition_0,DONE,O_n_problem,few_shot_prompt,20,259.385,11.091,59.039,14.787
run_60_repetition_0,DONE,O_n_problem,instructed_prompt_slen,1,840.45,15.229,57.575,17.786
run_61_repetition_0,DONE,O_n_problem,instructed_prompt_slen,2,256.888,12.074,57.315,17.389
run_62_repetition_0,DONE,O_n_problem,instructed_prompt_slen,3,265.474,21.786,59.057,20.831
run_63_repetition_0,DONE,O_n_problem,instructed_prompt_slen,4,274.115,24.664,60.557,21.858
run_64_repetition_0,DONE,O_n_problem,instructed_prompt_slen,5,272.265,21.404,60.153,20.083
run_65_repetition_0,DONE,O_n_problem,instructed_prompt_slen,6,272.557,22.706,61.249,21.235
run_66_repetition_0,DONE,O_n_problem,instructed_prompt_slen,7,268.803,21.492,61.315,20.288
run_67_repetition_0,DONE,O_n_problem,instructed_prompt_slen,8,263.32,20.109,61.94,19.963
run_68_repetition_0,DONE,O_n_problem,instructed_prompt_slen,9,262.682,21.249,62.117,20.318
run_69_repetition_0,DONE,O_n_problem,instructed_prompt_slen,10,259.187,19.373,61.897,19.094
run_70_repetition_0,DONE,O_n_problem,instructed_prompt_slen,11,259.642,19.156,61.673,19.026
run_71_repetition_0,DONE,O_n_problem,instructed_prompt_slen,12,263.94,21.459,62.161,19.811
run_72_repetition_0,DONE,O_n_problem,instructed_prompt_slen,13,259.156,22.898,62.277,19.797
run_73_repetition_0,DONE,O_n_problem,instructed_prompt_slen,14,268.131,22.581,62.253,20.954
run_74_repetition_0,DONE,O_n_problem,instructed_prompt_slen,15,263.104,16.867,62.941,19.473
run_75_repetition_0,DONE,O_n_problem,instructed_prompt_slen,16,263.571,18.318,62.578,19.903
run_76_repetition_0,DONE,O_n_problem,instructed_prompt_slen,17,259.734,19.431,62.186,19.386
run_77_repetition_0,DONE,O_n_problem,instructed_prompt_slen,18,267.632,19.811,62.297,19.922
run_78_repetition_0,DONE,O_n_problem,instructed_prompt_slen,19,266.056,21.566,62.558,21.179
run_79_repetition_0,DONE,O_n_problem,instructed_prompt_slen,20,262.365,19.836,62.094,19.769
run_80_repetition_0,DONE,O_n_problem,instructed_prompt_llen,1,270.52,20.63,62.282,19.846
run_81_repetition_0,DONE,O_n_problem,instructed_prompt_llen,2,271.062,20.497,62.322,19.345
run_82_repetition_0,DONE,O_n_problem,instructed_prompt_llen,3,274.772,20.004,62.277,19.263
run_83_repetition_0,DONE,O_n_problem,instructed_prompt_llen,4,269.195,19.584,62.48,19.014
run_84_repetition_0,DONE,O_n_problem,instructed_prompt_llen,5,273.641,19.776,62.305,18.889
run_85_repetition_0,DONE,O_n_problem,instructed_prompt_llen,6,271.999,20.523,62.073,19.246
run_86_repetition_0,DONE,O_n_problem,instructed_prompt_llen,7,275.947,20.82,62.416,20.043
run_87_repetition_0,DONE,O_n_problem,instructed_prompt_llen,8,274.636,16.654,62.331,18.684
run_88_repetition_0,DONE,O_n_problem,instructed_prompt_llen,9,268.104,13.787,62.248,17.258
run_89_repetition_0,DONE,O_n_problem,instructed_prompt_llen,10,272.968,13.751,62.161,17.282
run_90_repetition_0,DONE,O_n_problem,instructed_prompt_llen,11,268.505,13.639,62.022,17.249
run_91_repetition_0,DONE,O_n_problem,instructed_prompt_llen,12,947.347,14.166,61.924,14.846
run_92_repetition_0,DONE,O_n_problem,instructed_prompt_llen,13,268.276,13.962,61.199,17.153
run_93_repetition_0,DONE,O_n_problem,instructed_prompt_llen,14,268.112,13.705,61.902,17.149
run_94_repetition_0,DONE,O_n_problem,instructed_prompt_llen,15,267.381,13.583,62.082,17.127
run_95_repetition_0,DONE,O_n_problem,instructed_prompt_llen,16,274.9,13.988,62.142,17.21
run_96_repetition_0,DONE,O_n_problem,instructed_prompt_llen,17,1503.643,13.684,62.127,13.407
run_97_repetition_0,DONE,O_n_problem,instructed_prompt_llen,18,907.026,11.766,62.402,10.554
run_98_repetition_0,DONE,O_n_problem,instructed_prompt_llen,19,1538.727,12.237,62.115,10.588
run_99_repetition_0,DONE,O_n_problem,instructed_prompt_llen,20,898.088,11.936,61.711,10.609
run_100_repetition_0,DONE,O_n_problem,instructed_prompt_de,1,1483.757,12.004,61.507,10.302
run_101_repetition_0,DONE,O_n_problem,instructed_prompt_de,2,381.092,12.0,61.558,10.33
run_102_repetition_0,DONE,O_n_problem,instructed_prompt_de,3,1271.83,12.624,61.449,10.344
run_103_repetition_0,DONE,O_n_problem,instructed_prompt_de,4,342.537,12.06,61.718,10.425
run_104_repetition_0,DONE,O_n_problem,instructed_prompt_de,5,605.082,14.272,61.447,15.399
run_105_repetition_0,DONE,O_n_problem,instructed_prompt_de,6,232.79,13.596,61.102,16.738
run_106_repetition_0,DONE,O_n_problem,instructed_prompt_de,7,230.312,13.566,61.357,16.663
run_107_repetition_0,DONE,O_n_problem,instructed_prompt_de,8,296.049,19.359,62.49,18.569
run_108_repetition_0,DONE,O_n_problem,instructed_prompt_de,9,235.048,18.203,63.229,19.381
run_109_repetition_0,DONE,O_n_problem,instructed_prompt_de,10,232.75,18.924,63.926,19.018
run_110_repetition_0,DONE,O_n_problem,instructed_prompt_de,11,233.403,20.364,64.505,19.996
run_111_repetition_0,DONE,O_n_problem,instructed_prompt_de,12,228.361,18.822,64.049,19.019
run_112_repetition_0,DONE,O_n_problem,instructed_prompt_de,13,234.538,21.204,64.545,20.732
run_113_repetition_0,DONE,O_n_problem,instructed_prompt_de,14,235.227,18.334,64.342,18.854
run_114_repetition_0,DONE,O_n_problem,instructed_prompt_de,15,231.389,18.02,64.388,18.114
run_115_repetition_0,DONE,O_n_problem,instructed_prompt_de,16,231.013,17.799,64.082,18.162
run_116_repetition_0,DONE,O_n_problem,instructed_prompt_de,17,232.527,19.36,64.217,19.126
run_117_repetition_0,DONE,O_n_problem,instructed_prompt_de,18,232.109,20.336,64.225,19.889
run_118_repetition_0,DONE,O_n_problem,instructed_prompt_de,19,244.797,19.979,63.627,20.668
run_119_repetition_0,DONE,O_n_problem,instructed_prompt_de,20,232.457,18.644,63.379,19.013
